id,nombre,horasTrabajadas,sueldo
1,Leo,144,$9044.12
2,Sherri,154,$16517.15
3,Caryn,70,$19913.95
4,Rahel,22,$7991.46
5,Kayne,106,$25601.47
6,Darci,138,$7451.53
7,Rice,71,$21481.99
8,Marc,143,$29524.89
9,Michaeline,183,$14499.05
10,Wain,177,$26379.83
11,Vassili,105,$27833.47
12,Alicia,100,$29175.21
13,Arvin,30,$14869.03
14,Hetti,97,$22490.67
15,Ula,39,$25627.18
16,Webb,78,$27005.09
17,Kinsley,50,$7792.27
18,Ophelie,41,$22450.89
19,Sophia,21,$11459.10
20,Vinni,198,$6400.85
21,Corabel,167,$20407.36
22,Morgen,21,$14025.09
23,Magdalen,145,$16857.14
24,Aloysius,80,$26170.91
25,Conrad,20,$15713.06
26,Dorey,119,$27055.97
27,Ara,46,$14290.87
28,Markos,96,$15070.19
29,Cybill,30,$8185.06
30,Cristi,78,$28647.56
31,Cchaddie,143,$18572.45
32,Sharon,140,$12942.19
33,Jose,105,$26810.76
34,Cori,162,$24071.65
35,Demetria,74,$14514.29
36,Guy,145,$11733.96
37,Shadow,37,$22725.96
38,Eleen,117,$12780.74
39,Loy,59,$26997.75
40,Craggy,45,$27618.67
41,Jessica,128,$14143.88
42,Flor,74,$22121.40
43,Marius,181,$8048.57
44,Chase,110,$9465.09
45,Jocelin,163,$29066.09
46,Tish,174,$6153.77
47,Stefan,130,$26234.12
48,Penrod,74,$11692.52
49,Adora,136,$28455.78
50,Selie,91,$18299.98
51,Rosaline,69,$28943.44
52,Kiersten,30,$16073.82
53,Tallie,156,$19105.84
54,Jolyn,146,$15173.67
55,Ker,121,$29294.31
56,Kitty,22,$28191.48
57,Damon,112,$27237.56
58,Ertha,98,$10031.26
59,Lucio,110,$14964.88
60,Wain,85,$16032.42
61,Lulita,80,$11061.31
62,Hervey,110,$13107.12
63,Meggie,193,$18468.52
64,Pablo,151,$19530.05
65,Wilona,20,$10256.95
66,Teena,168,$8774.19
67,Griffin,178,$23473.04
68,Giulia,148,$19946.88
69,Christie,122,$17107.27
70,Ulrika,22,$21642.37
71,Claus,151,$6471.70
72,Jena,117,$20309.67
73,Marge,195,$9579.94
74,Annora,133,$20944.31
75,Pauline,129,$19904.36
76,Constantine,133,$26999.86
77,Brendin,74,$7233.10
78,Rosaline,130,$26349.00
79,Whitney,115,$19852.70
80,Jaquenetta,175,$27189.66
81,Gill,177,$6207.31
82,Jessamine,29,$18382.57
83,Yehudit,181,$20502.34
84,Adelbert,102,$7207.84
85,Jana,131,$20015.22
86,Sibella,45,$28047.37
87,Filmer,137,$6217.65
88,Barbie,49,$10961.57
89,Lynnett,155,$11365.12
90,Pierce,132,$10138.03
91,Millard,34,$17117.07
92,Harlen,102,$16280.62
93,Gian,169,$10428.80
94,Thorsten,93,$14925.05
95,Gloria,128,$19543.37
96,Caryl,183,$7056.42
97,Bridget,49,$7630.28
98,Hansiain,23,$9517.65
99,Amii,55,$6471.50
100,Dominica,39,$6192.42
101,Xylia,61,$28216.72
102,Melvyn,68,$15360.53
103,Harris,90,$20955.29
104,Milton,35,$16748.76
105,Ashlee,80,$14416.24
106,Lou,29,$7106.92
107,Kristopher,44,$13316.50
108,Fletch,181,$26793.69
109,Dewie,117,$13138.43
110,Lisa,133,$13026.44
111,Hobart,117,$8725.38
112,Tristan,155,$25729.11
113,Haywood,152,$25005.86
114,Geri,191,$6378.88
115,Anatole,51,$8744.76
116,Hobie,57,$21631.01
117,Dianne,140,$15704.66
118,Etty,80,$8872.41
119,Abner,107,$16108.16
120,Carlyle,133,$13630.30
121,Obadiah,71,$17996.25
122,Eduard,112,$6036.96
123,Ketty,189,$12953.01
124,Harlan,190,$8551.86
125,Ludovico,104,$27748.73
126,Berky,54,$29928.42
127,Donnie,72,$17968.43
128,Noelyn,34,$13285.58
129,Correy,28,$29698.30
130,Joleen,120,$13303.41
131,Ansley,23,$10843.17
132,Karen,191,$19899.33
133,Natale,95,$25223.22
134,Jaine,31,$18579.11
135,Mickey,54,$17523.62
136,Demott,114,$25738.67
137,Adora,74,$22334.56
138,Belle,30,$22407.37
139,Pip,99,$25611.23
140,Julie,34,$19515.08
141,Gard,138,$27039.84
142,Roi,37,$10297.97
143,Aloin,200,$9130.89
144,Pearce,63,$21073.76
145,Fanchette,40,$25744.68
146,Carline,54,$16376.23
147,Daloris,39,$12413.85
148,Pippa,35,$12809.28
149,Minna,180,$29788.81
150,Liliane,142,$25767.31
151,Erminia,133,$18723.38
152,Alix,25,$21048.93
153,Kale,141,$20923.71
154,Bryce,56,$24430.95
155,Elvira,53,$27089.73
156,Torrie,28,$21694.75
157,Vale,46,$20143.61
158,Dave,97,$16916.65
159,Gilberto,150,$10189.94
160,Gerome,62,$21393.16
161,Aksel,30,$21713.48
162,Janka,200,$17273.35
163,Emily,20,$19596.92
164,Clotilda,154,$10486.77
165,Elisabeth,32,$6498.53
166,Waylon,99,$23925.47
167,Wylma,132,$9992.88
168,Fancie,32,$12297.47
169,Maryrose,182,$14464.51
170,Josey,123,$6902.55
171,Biddie,102,$7774.40
172,Wilma,160,$17767.65
173,Binnie,192,$6615.19
174,Fidela,87,$20721.30
175,Meredith,161,$28873.07
176,Nerti,160,$16721.03
177,Janel,58,$6174.35
178,Roderich,187,$15595.35
179,Eilis,99,$7757.55
180,Sena,74,$11029.80
181,Renie,154,$28613.91
182,Carlyn,198,$14287.23
183,Jimmie,90,$12478.44
184,Jacquenetta,96,$29710.95
185,Lesli,191,$9495.23
186,Poppy,58,$12349.40
187,Blair,119,$6799.74
188,Joseph,105,$13760.93
189,Riccardo,81,$10552.26
190,Sylvester,186,$16325.05
191,Lucine,77,$20292.35
192,Stevana,112,$11134.80
193,Michel,68,$18169.38
194,Heddie,111,$25541.24
195,Gordan,184,$25749.00
196,Olivia,182,$26369.55
197,Carleton,21,$24261.28
198,Nolie,46,$29562.42
199,Sabine,187,$15744.82
200,Goddart,37,$23489.44
201,Juanita,87,$22647.14
202,Worth,178,$10203.31
203,Celie,48,$29488.43
204,Packston,74,$20451.98
205,Nicolas,42,$19953.28
206,Shawn,45,$19754.10
207,Shana,107,$28233.13
208,My,161,$23644.93
209,Lew,93,$11272.32
210,Penn,147,$24373.49
211,Anitra,178,$27903.87
212,Halie,151,$11924.30
213,Mohandis,56,$17117.15
214,Gwenneth,180,$24853.18
215,Papagena,195,$29030.60
216,Jemie,83,$11907.34
217,Harris,81,$10888.63
218,Cam,130,$11769.63
219,Herbert,196,$20091.73
220,Avigdor,51,$11743.18
221,Jeni,193,$8507.57
222,Shena,128,$29901.29
223,Ferdinand,128,$20747.19
224,Ransell,91,$20309.90
225,Buddie,100,$16061.58
226,Philbert,53,$23200.82
227,Morgun,160,$13503.81
228,Barth,134,$6333.34
229,Kaylee,181,$12037.15
230,Starlene,44,$22564.74
231,Ruggiero,102,$18974.97
232,Douglas,45,$10200.45
233,Winnifred,31,$12174.80
234,Charisse,24,$22200.35
235,Shermie,97,$6793.75
236,Aristotle,178,$7784.55
237,Bibi,132,$20282.15
238,Maddi,25,$19590.88
239,Edmon,107,$24130.60
240,Hercules,88,$12246.75
241,Preston,54,$22001.54
242,Judon,182,$7964.47
243,Silva,192,$9216.95
244,Christin,43,$22137.74
245,Claiborne,52,$24902.04
246,Petey,185,$6533.14
247,Willow,100,$29154.66
248,Vale,69,$19583.58
249,Baxy,25,$19427.27
250,Randie,180,$26502.58
251,Ruperta,160,$17704.97
252,Madge,48,$12346.74
253,Carena,192,$19079.93
254,Justin,101,$18690.19
255,Kerby,128,$6301.08
256,Burgess,197,$29553.24
257,Odette,150,$16623.30
258,Fernando,128,$22819.67
259,Lisle,88,$12223.44
260,Thurstan,136,$28632.30
261,Art,66,$8615.40
262,Solly,25,$21152.13
263,Orsa,31,$19226.60
264,Merissa,132,$18008.61
265,Anet,180,$25931.12
266,Nesta,20,$21057.55
267,Kaela,114,$19977.72
268,Gwenore,95,$29569.89
269,Cordula,111,$12283.33
270,Traver,92,$21151.65
271,Dorothea,48,$21915.97
272,Grazia,181,$19871.41
273,Kassandra,139,$12188.19
274,Izak,195,$20025.46
275,Augustus,169,$28285.19
276,Stoddard,189,$6418.79
277,Bink,123,$21386.45
278,Jennie,138,$24432.52
279,Nikos,38,$29605.64
280,Wayne,51,$29171.78
281,Onofredo,199,$28461.89
282,Bibby,59,$8947.97
283,Ileana,40,$10113.99
284,Lindsay,68,$24846.07
285,Tod,99,$6298.47
286,Otto,114,$7651.62
287,Ardine,125,$8661.55
288,Neron,32,$7493.90
289,Deidre,166,$14700.71
290,Ashlie,24,$19188.03
291,Garrik,28,$18149.72
292,Lorilee,40,$27175.07
293,Magnum,108,$11691.32
294,Mufinella,40,$9712.23
295,Valenka,90,$14983.93
296,Clay,58,$6286.38
297,Holly,107,$14877.70
298,Corabelle,172,$6299.42
299,Milt,123,$13676.88
300,Melinde,191,$12891.54
301,Cortie,36,$26353.83
302,Marchelle,113,$17365.45
303,Peder,31,$15614.33
304,Kingsly,92,$21250.47
305,Aurilia,65,$7088.60
306,Finlay,65,$17622.51
307,Siusan,189,$16909.24
308,Tabatha,25,$7959.11
309,Phineas,87,$17221.88
310,Merle,51,$11511.29
311,Lorianna,168,$20875.78
312,Sherie,65,$10215.07
313,Celestyn,153,$21489.24
314,Ashlie,185,$19029.60
315,Thia,159,$6111.80
316,Zachary,118,$26211.82
317,Andie,200,$25644.88
318,Orv,109,$21530.32
319,Dietrich,54,$12060.44
320,Karleen,50,$18055.92
321,Vidovic,181,$19021.41
322,Freddy,45,$19955.98
323,May,33,$7070.50
324,Conroy,103,$28455.33
325,Rowney,134,$13079.95
326,Darius,55,$7984.53
327,Wes,124,$17062.61
328,Ofella,159,$17816.95
329,Darice,137,$13491.77
330,Kahaleel,181,$9364.27
331,Brandais,26,$10654.54
332,Owen,136,$20422.30
333,Hunt,42,$18699.18
334,Durante,28,$12902.41
335,Gae,171,$22325.93
336,Carlina,135,$11523.22
337,Rance,61,$27570.50
338,Rosaline,40,$26262.00
339,Martguerita,134,$15959.40
340,Shandee,53,$28200.35
341,Abbey,98,$9964.46
342,Peria,109,$11860.03
343,Leanor,180,$28225.94
344,Kylynn,148,$24929.21
345,Rana,154,$27654.51
346,Jonah,100,$13847.78
347,Pauly,70,$26618.79
348,Haley,69,$6249.61
349,Meagan,178,$11801.48
350,Debby,37,$19757.90
351,Alane,53,$28382.84
352,Missy,26,$9768.79
353,Leland,96,$6964.91
354,Peyton,138,$20203.17
355,Nita,134,$18846.53
356,Agretha,40,$19175.41
357,Selene,33,$11811.95
358,Tania,151,$13372.56
359,Mason,94,$18784.59
360,Constantina,173,$26833.77
361,Brig,49,$21543.92
362,Conrad,50,$19044.72
363,Harri,179,$26693.39
364,Stillman,170,$19359.45
365,Fred,134,$12825.83
366,Luciana,66,$12060.10
367,Shermie,190,$10443.92
368,Noble,139,$9504.29
369,Anny,134,$18396.37
370,Consalve,47,$29151.67
371,Rowena,73,$21063.25
372,Madlen,162,$6237.93
373,Sharyl,38,$24951.19
374,Kellen,184,$20119.59
375,Flo,80,$14477.58
376,Gussi,123,$12319.24
377,Yves,104,$21885.05
378,Wang,51,$17394.84
379,Rochelle,85,$20381.43
380,Christi,104,$25522.75
381,Malena,146,$28777.18
382,Kipper,34,$19609.40
383,Westleigh,33,$26879.86
384,Darryl,150,$29455.65
385,Colene,93,$22502.14
386,Teena,30,$7760.14
387,Tomasine,189,$14391.12
388,Terri,98,$27621.15
389,Hana,79,$25344.57
390,Valdemar,148,$23521.44
391,Meta,40,$9407.38
392,Etta,41,$29175.54
